url,personagens,Dimensões:,Edição:,Coleção:,Autor:,Marca:,Idioma:,ISBN:,Número de páginas:,Peso:,Encadernação:
https://www.cirandacultural.com.br/produto/hot-wheels-competicao-animal-12620,/products/vitrine/personagens hot wheels,26cm x 26cm,1,5 quebra-cabeças divertidos,Ciranda Cultural,Ciranda Cultural,Português,9788538082651,10,650 gramas,Lombada quadrada
https://www.cirandacultural.com.br/produto/monster-high-amizade-horripilante-8900,/products/vitrine/personagens monster high,35cm x 27cm,1,Não se aplica,Ciranda Cultural,Ciranda Cultural,Português,9788538060550,8,17 gramas,Grampeado
https://www.cirandacultural.com.br/produto/galinha-pintadinha-dia-a-dia-no-ninho-10360,/products/vitrine/personagens galinha pintadinha,21cm x 19cm,1,Não se aplica,Ciranda Cultural,Ciranda Cultural,Português,9788538077237,10,173 gramas,Lombada quadrada
https://www.cirandacultural.com.br/produto/um-pesadelo-quase-real-13289,/products/vitrine/personagens hora de aventura,18cm x 14cm,1,kit - Hora da aventura,Ciranda Cultural,Ciranda Cultural,Português,9788538062776,8,170 gramas,Grampeado
https://www.cirandacultural.com.br/produto/galinha-pintadinha-aprender-colorindo-12365,/products/vitrine/personagens galinha pintadinha,21cm x 28cm,1,Minibloco,Ciranda Cultural,Ciranda Cultural,Português,9788538079910,48,205 gramas,Brochura
https://www.cirandacultural.com.br/produto/hello-kitty-vamos-brincar-12479,/products/vitrine/personagens hello kitty,28cm x 21cm,1,Não se aplica,Ciranda Cultural,Ciranda Cultural,Português,9788538058915,48,187 gramas,Grampeado
https://www.cirandacultural.com.br/produto/hello-kitty-cores-da-fantasia-8406,/products/vitrine/personagens hello kitty,25cm x 25cm,1,Colorindo com,Ciranda Cultural,Ciranda Cultural,Português,9788538058922,36,233 gramas,Brochura
https://www.cirandacultural.com.br/produto/monster-high-atividades-horripilantes-7833,/products/vitrine/personagens monster high,28cm x 21cm,1,Não se aplica,Ciranda Cultural,Ciranda Cultural,Português,9788538065869,48,188 gramas,Grampeado
https://www.cirandacultural.com.br/produto/hello-kitty-encantadoras-brincadeiras-8941,/products/vitrine/personagens hello kitty,35cm x 27cm,1,Não se aplica,Ciranda Cultural,Ciranda Cultural,Português,9788538058939,8,17 gramas,Grampeado
https://www.cirandacultural.com.br/produto/bubble-guppies-amigos-do-mar-8956,/products/vitrine/personagens bubble guppies,35cm x 27cm,1,Não se aplica,Ciranda Cultural,Ciranda Cultural,Português,9788538062851,8,17 gramas,Brochura
https://www.cirandacultural.com.br/produto/peppa-pig-diversao-em-familia-10620,/products/vitrine/personagens peppa pig,23cm x 17cm,1,Box com janela com 6,Ciranda Cultural,Ciranda Cultural,Português,9788538081081,60,493 gramas,Lombada quadrada
https://www.cirandacultural.com.br/produto/bubble-guppies-amigos-para-todas-as-horas-7433,/products/vitrine/personagens bubble guppies,30cm x 23cm,1,Não se aplica,Ciranda Cultural,Ciranda Cultural,Português,9788538063735,8,585 gramas,Lombada quadrada
https://www.cirandacultural.com.br/produto/um-passeio-gelado-17046,/products/vitrine/personagens hora de aventura,18cm x 14cm,1,kit - Hora da aventura,Ciranda Cultural,Ciranda Cultural,Português,9788538062790,8,170 gramas,Grampeado
https://www.cirandacultural.com.br/produto/fisher-price-um-dia-na-floresta-12260,/products/vitrine/personagens fisher price,20cm x 20cm,1,Siga o caminho,Ciranda Cultural,Ciranda Cultural,Português,9788538078074,10,360 gramas,Lombada quadrada
