url,tema,Dimensões:,Edição:,Coleção:,Autor:,Marca:,Idioma:,ISBN:,Número de páginas:,Peso:,Ano de publicação:,Encadernação:
https://www.cirandacultural.com.br/produto/peppa-pig-pulando-na-lama-12524,/products/vitrine/temas comportamento,34cm x 25cm,1,Não se aplica,Ciranda Cultural,Ciranda Cultural,Português,9788538083931,8,42 gramas,2018,Grampeado
https://www.cirandacultural.com.br/produto/inocencia-7777,/products/vitrine/temas literatura,19cm x 14cm,1,Clássicos da literatura,Visconde de Taunay,Ciranda Cultural,Português,9788538011798,160,152 gramas,,Brochura
https://www.cirandacultural.com.br/produto/adeus-chupeta-8980,/products/vitrine/temas educacao,24cm x 24cm,1,Série garotada,Mercè Seix,Ciranda Cultural,Português,9788538045984,36,195 gramas,,Brochura
https://www.cirandacultural.com.br/produto/semeadores-da-esperanca-7770,/products/vitrine/temas educacao,14cm x 19cm,1,Cultivar,Gabriel Chalita,Ciranda Cultural,Português,9788538005605,112,221 gramas,,Brochura
https://www.cirandacultural.com.br/produto/o-primo-basilio-12311,/products/vitrine/temas literatura,21cm x 14cm,1,Clássicos da literatura,Eça de Queirós,Ciranda Cultural,Português,9788538077664,384,308 gramas,2018,Brochura
https://www.cirandacultural.com.br/produto/contos-12321,/products/vitrine/temas literatura,21cm x 14cm,1,Clássicos da literatura,Machado de Assis,Ciranda Cultural,Português,9788538077534,94,120 gramas,2018,Brochura
https://www.cirandacultural.com.br/produto/formas-geometricas-9448,/products/vitrine/temas matematica e numeros,27cm x 14cm,1,Baby Ciranda,Ciranda Cultural,Ciranda Cultural,Português,9788538006954,6,75 gramas,,Flexível
https://www.cirandacultural.com.br/produto/numeros-10400,/products/vitrine/temas matematica e numeros,19cm x 19cm,1,Janelas e texturas,Ciranda Cultural,Ciranda Cultural,Português,9788538076018,10,326 gramas,,Lombada quadrada
https://www.cirandacultural.com.br/produto/escrever-e-contar-8721,/products/vitrine/temas alfabetizacao e escrita,20cm x 13cm,1,Ciranda escolar,Ciranda Cultural,Ciranda Cultural,Português,9788538064244,16,38 gramas,,Grampeado
https://www.cirandacultural.com.br/produto/o-sitio-do-seu-lobato-10105,/products/vitrine/temas matematica e numeros,21cm x 18cm,1,Cinco amiguinhos,Make Believe Ideias,Ciranda Cultural,Português,9788538071174,12,316 gramas,,Lombada quadrada
https://www.cirandacultural.com.br/produto/dez-pintinhos-brincalhoes-8542,/products/vitrine/temas matematica e numeros,28cm x 28cm,1,Contando,Ciranda Cultural,Ciranda Cultural,Português,9788538060680,24,225 gramas,,Brochura
https://www.cirandacultural.com.br/produto/dez-peixinhos-animados-8533,/products/vitrine/temas matematica e numeros,28cm x 28cm,1,Contando,Ciranda Cultural,Ciranda Cultural,Português,9788538060697,24,224 gramas,,Brochura
https://www.cirandacultural.com.br/produto/365-atividades-verde-8482,/products/vitrine/temas aventura e fantasia,24cm x 16cm,1,365 atividades,Ciranda Cultural,Ciranda Cultural,Português,9788538043850,368,477 gramas,,Brochura
https://www.cirandacultural.com.br/produto/box-hora-do-espanto-serie-ii-11982,/products/vitrine/temas aventura e fantasia,20cm x 13cm,1,Hora do espanto,Edgar J. Hyde,Ciranda Cultural,Português,9788538081326,672,708 gramas,2018,Brochura
https://www.cirandacultural.com.br/produto/musica-e-acao-na-educacao-infantil-7190,/products/vitrine/temas artes,29cm x 21cm,1,Música na escola,Mirella Aires Alves,Ciranda Cultural,Português,9788538033950,128,848 gramas,,Capa dura
https://www.cirandacultural.com.br/produto/cidade-10682,/products/vitrine/temas ciencias e geografia,28cm x 21cm,1,Treinando inglês,Ciranda Cultural,Ciranda Cultural,Inglês,9788538078234,16,93 gramas,2018,Grampeado
https://www.cirandacultural.com.br/produto/amigos-da-selva-10630,/products/vitrine/temas ciencias e geografia,27cm x 20cm,1,Quebra-cabeça de 6 peças,Ciranda Cultural,Ciranda Cultural,Português,9788538080831,8,428 gramas,,Lombada quadrada
https://www.cirandacultural.com.br/produto/escondidos-nas-arvores-9683,/products/vitrine/temas ciencias e geografia,24cm x 24cm,1,Camuflagem,Barbara Taylor,Ciranda Cultural,Português,9788538031161,24,138 gramas,,Brochura
https://www.cirandacultural.com.br/produto/dinossauros-7211,/products/vitrine/temas ciencias e geografia,35cm x 27cm,1,Colorindo,Ciranda Cultural,Ciranda Cultural,Português,9788538041894,16,85 gramas,,Brochura
https://www.cirandacultural.com.br/produto/predadores-9294,/products/vitrine/temas ciencias e geografia,27cm x 25cm,1,Em foco,John Seidensticker,Ciranda Cultural,Português,9788538046165,64,625 gramas,,Capa dura
https://www.cirandacultural.com.br/produto/onibus-animado-10283,/products/vitrine/temas veiculos,24cm x 20cm,1,Espie pelas janelas,Dawn Machell,Ciranda Cultural,Português,9788538074106,10,450 gramas,,Lombada quadrada
https://www.cirandacultural.com.br/produto/blue-monster-wants-it-all-10639,/products/vitrine/temas valores,28cm x 25cm,1,Histórias em Inglês,Jeanne Willis,Ciranda Cultural,Inglês,9788538078876,24,178 gramas,2018,Brochura
https://www.cirandacultural.com.br/produto/antigo-egito-7352,/products/vitrine/temas ciencias e geografia,32cm x 27cm,1,Guia de aventuras,Glen Johnstone,Ciranda Cultural,Português,9788538000624,20,940 gramas,,Lombada quadrada
https://www.cirandacultural.com.br/produto/nadadeiras-9400,/products/vitrine/temas ciencias e geografia,20cm x 23cm,1,Se eu tivesse...,Silvana Pierro,Ciranda Cultural,Português,9788538041795,10,665 gramas,,Lombada quadrada
https://www.cirandacultural.com.br/produto/hot-wheels-maquinas-eletrizantes-10293,/products/vitrine/temas veiculos,6cm x 30cm,1,Livro rolo para ler e colorir,Ciranda Cultural,Ciranda Cultural,Português,9788538074977,1,187 gramas,,Não se aplica
https://www.cirandacultural.com.br/produto/hot-wheels-uma-incrivel-competicao-7869,/products/vitrine/temas veiculos,28cm x 22cm,1,Não se aplica,Ciranda Cultural,Ciranda Cultural,Português,9788538053682,16,111 gramas,,Grampeado
